date,lat,lon,Precip_mean,Air_Temp_mean,Surf_Radiation_mean,Wind_Velocity_mean,Air_Temp_cumsum,Precip_cumsum,Surf_Radiation_cumsum,Wind_Velocity_cumsum,year
2022-03-24,44.712500000000006,-122.20416663333334,0.0,7.581250000000068,255.375,1.0,282.3500000000018,586.725,8908.8,276.85,2022
2022-03-25,44.712500000000006,-122.20416663333334,0.0,8.606250000000045,257.75,2.2,290.95625000000183,586.725,9166.55,279.05,2022
2022-03-26,44.712500000000006,-122.20416663333334,0.0,10.537500000000023,192.875,1.95,301.49375000000185,586.725,9359.425,281.0,2022
2022-03-27,44.712500000000006,-122.20416663333334,2.3375,11.037500000000023,195.2875,1.5875000000000001,312.5312500000019,589.0625,9554.7125,282.58750000000003,2022
2022-03-28,44.712500000000006,-122.20416663333334,0.1625,8.59375,122.55,2.4000000000000004,321.1250000000019,589.225,9677.2625,284.9875,2022
2022-03-29,44.712500000000006,-122.20416663333334,0.0,9.150000000000034,221.8,1.5625,330.2750000000019,589.225,9899.0625,286.55,2022
2022-03-30,44.712500000000006,-122.20416663333334,1.825,5.475000000000023,105.275,3.9,335.75000000000193,591.05,10004.3375,290.45,2022
2022-03-31,44.712500000000006,-122.20416663333334,0.0,5.0750000000000455,203.4,2.6750000000000003,340.825000000002,591.05,10207.7375,293.125,2022
2022-04-01,44.712500000000006,-122.20416663333334,6.1625000000000005,6.006250000000023,249.175,1.7750000000000001,346.831250000002,597.2125,10456.9125,294.90000000000003,2022
2022-04-02,44.712500000000006,-122.20416663333334,0.0,6.068750000000023,275.125,1.9,352.900000000002,597.2125,10732.0375,296.8,2022
2022-04-03,44.712500000000006,-122.20416663333334,28.525000000000002,5.9500000000000455,180.1125,3.9375,358.85000000000207,625.7375,10912.15,300.7375,2022
2022-04-04,44.712500000000006,-122.20416663333334,37.237500000000004,4.025000000000034,82.0,8.387500000000001,362.8750000000021,662.975,10994.15,309.125,2022
