date,lat,lon,Precip_mean,Air_Temp_mean,Surf_Radiation_mean,Wind_Velocity_mean,Air_Temp_cumsum,Precip_cumsum,Surf_Radiation_cumsum,Wind_Velocity_cumsum
2012-03-01,44.712500000000006,-122.20416663333334,26.512500000000003,-1.4312499999999773,132.26250000000002,7.9375,161.60000000000173,753.725,5176.5875,393.21250000000003
2012-03-02,44.712500000000006,-122.20416663333334,0.8125,-1.2124999999999773,97.075,4.050000000000001,160.38750000000175,754.5375,5273.6625,397.2625
2012-03-03,44.712500000000006,-122.20416663333334,0.8125,2.46875,148.7375,4.3875,162.85625000000175,755.35,5422.4,401.65000000000003
2012-03-04,44.712500000000006,-122.20416663333334,0.0,3.0625,201.2875,1.8375000000000001,165.91875000000175,755.35,5623.6875,403.4875
2012-03-05,44.712500000000006,-122.20416663333334,16.625,1.2875000000000227,75.2625,6.0875,167.20625000000177,771.975,5698.95,409.575
2012-03-06,44.712500000000006,-122.20416663333334,4.9625,-1.625,125.675,5.925000000000001,165.58125000000177,776.9375,5824.625,415.5
2012-03-07,44.712500000000006,-122.20416663333334,0.0,-1.0249999999999773,185.025,2.9125,164.5562500000018,776.9375,6009.65,418.4125
2012-03-08,44.712500000000006,-122.20416663333334,0.0,7.1062500000000455,213.025,4.3,171.66250000000184,776.9375,6222.675,422.71250000000003
2012-03-09,44.712500000000006,-122.20416663333334,0.0,5.2625000000000455,208.3125,4.9375,176.9250000000019,776.9375,6430.9875,427.65000000000003
2012-03-10,44.712500000000006,-122.20416663333334,7.4875,3.650000000000034,102.5375,6.612500000000001,180.57500000000192,784.425,6533.525,434.26250000000005
2012-03-11,44.712500000000006,-122.20416663333334,20.6625,1.0750000000000455,126.3,9.612499999999999,181.65000000000197,805.0875,6659.825,443.875
2012-03-12,44.712500000000006,-122.20416663333334,11.625,1.7000000000000455,112.0125,13.5875,183.350000000002,816.7125,6771.8375,457.46250000000003
2012-03-13,44.712500000000006,-122.20416663333334,23.7625,0.7687500000000114,118.8,11.075,184.11875000000202,840.475,6890.6375,468.5375
2012-03-14,44.712500000000006,-122.20416663333334,20.325000000000003,1.25,85.6875,9.2625,185.36875000000202,860.8,6976.325,477.8
2012-03-15,44.712500000000006,-122.20416663333334,65.2625,5.212499999999977,88.0,13.5625,190.581250000002,926.0625,7064.325,491.3625
2012-03-16,44.712500000000006,-122.20416663333334,24.875,2.800000000000068,127.92500000000001,7.775,193.38125000000207,950.9375,7192.25,499.1375
2012-03-17,44.712500000000006,-122.20416663333334,12.1125,1.4250000000000682,135.5125,5.3500000000000005,194.80625000000214,963.05,7327.7625,504.4875
2012-03-18,44.712500000000006,-122.20416663333334,4.7,-0.7249999999999659,96.3,3.525,194.08125000000217,967.75,7424.0625,508.0125
2012-03-19,44.712500000000006,-122.20416663333334,7.775,-1.4874999999999545,63.975,5.25,192.59375000000222,975.525,7488.0375,513.2625
2012-03-20,44.712500000000006,-122.20416663333334,50.6,2.3687499999999773,105.075,10.2375,194.9625000000022,1026.125,7593.1125,523.5
2012-03-21,44.712500000000006,-122.20416663333334,45.0,2.425000000000068,104.8625,3.7125,197.38750000000226,1071.125,7697.975,527.2125
2012-03-22,44.712500000000006,-122.20416663333334,22.55,0.39375000000001137,161.0875,3.875,197.78125000000227,1093.675,7859.0625,531.0875
2012-03-23,44.712500000000006,-122.20416663333334,0.0,-0.18124999999997726,232.9625,2.1375,197.6000000000023,1093.675,8092.025000000001,533.225
2012-03-24,44.712500000000006,-122.20416663333334,0.0,3.1875,202.0,4.2875000000000005,200.7875000000023,1093.675,8294.025,537.5125
2012-03-25,44.712500000000006,-122.20416663333334,2.1625,2.900000000000034,170.3,2.1375,203.68750000000233,1095.8375,8464.325,539.65
2012-03-26,44.712500000000006,-122.20416663333334,0.41250000000000003,2.6750000000000114,230.3,3.925,206.36250000000234,1096.25,8694.625,543.575
2012-03-27,44.712500000000006,-122.20416663333334,5.800000000000001,5.337500000000034,135.175,6.7,211.70000000000238,1102.05,8829.8,550.275
2012-03-28,44.712500000000006,-122.20416663333334,6.925000000000001,3.0249999999999773,137.05,9.1375,214.72500000000235,1108.975,8966.85,559.4125
2012-03-29,44.712500000000006,-122.20416663333334,33.1,4.693750000000023,98.6,14.325,219.41875000000238,1142.075,9065.45,573.7375000000001
2012-03-30,44.712500000000006,-122.20416663333334,66.8,5.331250000000011,107.725,11.9875,224.7500000000024,1208.875,9173.175,585.725
2012-03-31,44.712500000000006,-122.20416663333334,15.375,6.487500000000068,131.8,8.1125,231.23750000000246,1224.25,9304.975,593.8375
2012-04-01,44.712500000000006,-122.20416663333334,14.725,3.0750000000000455,92.4875,9.8625,234.3125000000025,1238.975,9397.4625,603.7
2012-04-02,44.712500000000006,-122.20416663333334,1.75,6.0,149.35000000000002,7.0625,240.3125000000025,1240.725,9546.8125,610.7625
2012-04-03,44.712500000000006,-122.20416663333334,7.2875000000000005,5.2312500000000455,87.75,6.275,245.54375000000255,1248.0125,9634.5625,617.0375
